name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
morocco,2023-01-01,73.4,50,59.6,73.4,49.3,59.6,45.9,63.7,0,0,0,,0,0,13,6.9,221.6,1022.8,23.8,3.7,98,8.5,4,10,2023-01-01T08:32:56,2023-01-01T18:28:51,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-02,73.4,44.6,56.2,73.4,43.6,56,45,71.9,0,0,0,,0,0,14.1,9.2,61.9,1023.7,31.8,3.6,118.2,10.3,5,10,2023-01-02T08:33:07,2023-01-02T18:29:37,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-03,66.2,46.4,55.7,66.2,46.4,55.7,53.6,93.3,0,0,0,,0,0,20.1,13.9,39.9,1026.5,46.2,2.6,106.8,9.3,5,10,2023-01-03T08:33:17,2023-01-03T18:30:23,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-04,69.8,42.8,54.5,69.8,42.8,54.5,49.8,87.5,0.004,100,4.17,rain,0,0,12.5,12.8,75.5,1027.1,50,2.1,114.4,9.6,5,10,2023-01-04T08:33:25,2023-01-04T18:31:11,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-05,66.2,42.8,53,66.2,40,52.6,49.3,89.2,0,0,0,,0,0,11.9,5.8,238.9,1024.3,21.3,3.1,120.7,10.5,5,10,2023-01-05T08:33:31,2023-01-05T18:31:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-06,66.2,42.6,52.3,66.2,41.2,52.2,49.8,92,0,0,0,,0,0,11.4,6.9,263.4,1024.8,43.3,2.1,113.5,9.7,5,10,2023-01-06T08:33:35,2023-01-06T18:32:49,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-07,68.2,42.8,52.7,68.2,42.8,52.6,49.3,89.9,0,0,0,,0,0,9.8,8.1,217.2,1026.3,23.4,2.6,121.7,10.7,5,10,2023-01-07T08:33:37,2023-01-07T18:33:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-08,68,44.6,58.3,68,43.2,58,53,84.3,0.008,100,8.33,rain,0,0,23.5,9.9,236.3,1027.5,54.3,3.8,123.2,10.7,5,10,2023-01-08T08:33:38,2023-01-08T18:34:31,0.55,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-09,68,51.8,60.9,68,51.8,60.9,58.1,91.5,0.004,100,4.17,rain,0,0,17.7,9.2,233.3,1028.9,80.6,3.1,55.4,4.9,2,10,2023-01-09T08:33:36,2023-01-09T18:35:23,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-01-10,69.8,46.4,56.6,69.8,46.4,56.6,53.3,90.3,0,0,0,,0,0,17.9,11.9,47.6,1029.2,22.4,2.9,125.5,10.9,5,10,2023-01-10T08:33:33,2023-01-10T18:36:16,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
